,params,rules,target,qty_trans,acc,mean,max_drawdown,std,sharpe,sortino,positive,negative
1178,"{'rsi_smoth': (14, 9), 'william_fractals': (2, True)}",{'buy': 'william_fractals == True and rsi_smoth < 50'},0.0025,17,1.417,0.02088235294117647,-0.029,0.02334492009233801,0.8945137896629693,1.6394081091323245,13,4
1175,"{'rsi_smoth': (14, 9), 'william_fractals': (2, True)}",{'buy': 'william_fractals == True and rsi_smoth < 50'},0.001,17,1.417,0.02088235294117647,-0.029,0.02334492009233801,0.8945137896629693,1.6394081091323245,13,4
1177,"{'rsi_smoth': (14, 9), 'william_fractals': (2, True)}",{'buy': 'william_fractals == True and rsi_smoth < 50'},0.002,17,1.417,0.02088235294117647,-0.029,0.02334492009233801,0.8945137896629693,1.6394081091323245,13,4
1179,"{'rsi_smoth': (14, 9), 'william_fractals': (2, True)}",{'buy': 'william_fractals == True and rsi_smoth < 50'},0.003,17,1.417,0.02088235294117647,-0.029,0.02334492009233801,0.8945137896629693,1.6394081091323245,13,4
1176,"{'rsi_smoth': (14, 9), 'william_fractals': (2, True)}",{'buy': 'william_fractals == True and rsi_smoth < 50'},0.0015,17,1.417,0.02088235294117647,-0.029,0.02334492009233801,0.8945137896629693,1.6394081091323245,13,4
85,"{'rsi_smoth': (14, 9)}",{'buy': 'rsi_smoth < 50'},0.001,17,1.294,0.015529411764705884,-0.05,0.02768600198443887,0.560912036827647,0.7422782448792886,12,5
86,"{'rsi_smoth': (14, 9)}",{'buy': 'rsi_smoth < 50'},0.0015,17,1.294,0.015529411764705884,-0.05,0.02768600198443887,0.560912036827647,0.7422782448792886,12,5
87,"{'rsi_smoth': (14, 9)}",{'buy': 'rsi_smoth < 50'},0.002,17,1.294,0.015529411764705884,-0.05,0.02768600198443887,0.560912036827647,0.7422782448792886,12,5
88,"{'rsi_smoth': (14, 9)}",{'buy': 'rsi_smoth < 50'},0.0025,17,1.294,0.015529411764705884,-0.05,0.02768600198443887,0.560912036827647,0.7422782448792886,12,5
89,"{'rsi_smoth': (14, 9)}",{'buy': 'rsi_smoth < 50'},0.003,17,1.294,0.015529411764705884,-0.05,0.02768600198443887,0.560912036827647,0.7422782448792886,12,5
